model,dataset,scenario,seed,fold,accuracy,precision,recall,f1,distribution,degenerate,train_time_ms,inf_time_ms,auto_direction,auto_threshold
lstm,SKAB,original,2026,3,0.9380930863081789,0.9584775086505191,0.866166353971232,0.9099868593955321,"{'0': 2981, '1': 1445}",False,0.0,134.83238220214844,,
gru,SKAB,original,2026,3,0.9344780840488025,0.9198203976908275,0.8968105065666041,0.9081697276757441,"{'0': 2867, '1': 1559}",False,0.0,158.31637382507324,,
cnn1d,SKAB,original,2026,3,0.9417080885675554,0.9570552147239264,0.8780487804878049,0.9158512720156555,"{'0': 2959, '1': 1467}",False,0.0,176.86796188354492,,
automata,SKAB,original,2026,3,0.37675260063319765,0.3664897299792292,0.9931207004377736,0.5354012137559002,"{'0': 89, '1': 4333}",False,61.90085411071777,4.0225982666015625,high,-2.8159105930045913
lstm,SKAB,gaussian_noise,2026,3,0.5253050158156349,0.3759881422924901,0.47592245153220764,0.42009384487993373,"{'0': 2402, '1': 2024}",False,0.0,133.1796646118164,,
gru,SKAB,gaussian_noise,2026,3,0.640307275192047,0.6206896551724138,0.01125703564727955,0.022113022113022112,"{'0': 4397, '1': 29}",False,0.0,125.16999244689941,,
cnn1d,SKAB,gaussian_noise,2026,3,0.4048802530501582,0.37478828937817565,0.9687304565353346,0.5404745289602233,"{'0': 293, '1': 4133}",False,0.0,255.3873062133789,,
automata,SKAB,gaussian_noise,2026,3,0.5585707824513795,0.35473251028806585,0.2695434646654159,0.30632551528073915,"{'0': 3207, '1': 1215}",False,72.3409652709961,2.000093460083008,high,-2.8159105930045913
lstm,SKAB,original,2026,4,0.9256562982572248,0.9204702627939142,0.8570508692852543,0.8876292097365789,"{'0': 3087, '1': 1446}",False,0.0,145.4639434814453,,
gru,SKAB,original,2026,4,0.9351422898742554,0.9578181818181818,0.8480360592401803,0.8995901639344263,"{'0': 3158, '1': 1375}",False,0.0,172.1975803375244,,
cnn1d,SKAB,original,2026,4,0.9366865210677255,0.9716840536512668,0.8396651641983258,0.9008635578583765,"{'0': 3191, '1': 1342}",False,0.0,216.0947322845459,,
automata,SKAB,original,2026,4,0.4952528151909914,0.38256968920217876,0.7688345138441726,0.5109114249037228,"{'0': 1408, '1': 3121}",False,52.002668380737305,3.000020980834961,low,-0.011993499962423406
lstm,SKAB,gaussian_noise,2026,4,0.47915287888815355,0.35255474452554747,0.6220218931101095,0.4500349406009783,"{'0': 1793, '1': 2740}",False,0.0,136.08169555664062,,
gru,SKAB,gaussian_noise,2026,4,0.5012133245091551,0.35896414342629485,0.580167417900837,0.4435146443514644,"{'0': 2023, '1': 2510}",False,0.0,169.1598892211914,,
cnn1d,SKAB,gaussian_noise,2026,4,0.35473196558570486,0.3462572837292694,0.9948486799742434,0.513715710723192,"{'0': 71, '1': 4462}",False,0.0,190.52600860595703,,
automata,SKAB,gaussian_noise,2026,4,0.35394126738794435,0.3435149304764076,0.9703799098518996,0.5074074074074074,"{'0': 142, '1': 4387}",False,64.02993202209473,2.9964447021484375,low,-0.011993499962423406
lstm,BATADAL,original,2026,0,0.7358943577430972,0.013888888888888888,0.025,0.017857142857142856,"{'0': 689, '1': 144}",False,0.0,21.13032341003418,,
gru,BATADAL,original,2026,0,0.7406962785114045,0.027777777777777776,0.05,0.03571428571428571,"{'0': 689, '1': 144}",False,0.0,41.15414619445801,,
cnn1d,BATADAL,original,2026,0,0.8595438175270108,0.0,0.0,0.0,"{'0': 796, '1': 37}",False,0.0,29.683828353881836,,
automata,BATADAL,original,2026,0,0.8383594692400482,0.05,0.0375,0.04285714285714286,"{'0': 769, '1': 60}",False,9.963750839233398,1.035451889038086,low,-2.1302391889579746
lstm,BATADAL,gaussian_noise,2026,0,0.7394957983193278,0.07975460122699386,0.1625,0.10699588477366255,"{'0': 670, '1': 163}",False,0.0,26.988983154296875,,
gru,BATADAL,gaussian_noise,2026,0,0.6254501800720288,0.03968253968253968,0.125,0.060240963855421686,"{'0': 581, '1': 252}",False,0.0,39.5505428314209,,
cnn1d,BATADAL,gaussian_noise,2026,0,0.7695078031212484,0.040983606557377046,0.0625,0.04950495049504951,"{'0': 711, '1': 122}",False,0.0,36.00192070007324,,
automata,BATADAL,gaussian_noise,2026,0,0.6779252110977081,0.05263157894736842,0.1375,0.07612456747404844,"{'0': 620, '1': 209}",False,15.001296997070312,0.9939670562744141,low,-2.1302391889579746
lstm,SKAB,original,7,0,0.8870144284128746,0.8435419440745673,0.8221933809214795,0.832730857706211,"{'0': 3003, '1': 1502}",False,0.0,149.9326229095459,,
gru,SKAB,original,7,0,0.8905660377358491,0.8512064343163539,0.8241401687216093,0.8374546653478404,"{'0': 3013, '1': 1492}",False,0.0,184.82184410095215,,
cnn1d,SKAB,original,7,0,0.8703662597114318,0.8045830681094844,0.8202465931213497,0.8123393316195373,"{'0': 2934, '1': 1571}",False,0.0,152.8646945953369,,
automata,SKAB,original,7,0,0.578538102643857,0.43397626112759646,0.7592472420506164,0.5522775548737314,"{'0': 1805, '1': 2696}",False,45.218706130981445,2.6597976684570312,high,-0.3985185916839477
lstm,SKAB,gaussian_noise,7,0,0.49411764705882355,0.3701618578465869,0.6826735885788449,0.48003650467716175,"{'0': 1663, '1': 2842}",False,0.0,109.96055603027344,,
gru,SKAB,gaussian_noise,7,0,0.6235294117647059,0.41474147414741475,0.2446463335496431,0.30775510204081635,"{'0': 3596, '1': 909}",False,0.0,131.26039505004883,,
cnn1d,SKAB,gaussian_noise,7,0,0.3425083240843507,0.34221630024428157,1.0,0.5099272005294507,"{'0': 2, '1': 4503}",False,0.0,150.08544921875,,
automata,SKAB,gaussian_noise,7,0,0.6376360808709176,0.34265734265734266,0.063595068137573,0.10727969348659004,"{'0': 4215, '1': 286}",False,41.001319885253906,2.001047134399414,high,-0.3985185916839477
lstm,SKAB,original,7,1,0.9086656270884385,0.839782345828295,0.9054758800521513,0.8713927227101631,"{'0': 2835, '1': 1654}",False,0.0,140.6095027923584,,
gru,SKAB,original,7,1,0.9113388282468255,0.8523573200992556,0.8956975228161669,0.8734901462174189,"{'0': 2877, '1': 1612}",False,0.0,111.11140251159668,,
